Tank,Father,Trt,Egg Date,Egg Time,Clutch Size,Upgraded Skim,Week,Day Culled,Fry Count,Num Removed,Mean5 Weight,Mean5 Length,Fry 1 Weight,Fry 1 Length,Fry 2 Weight,Fry 2 Length,Fry 3 Weight,Fry 3 Length,Fry 4 Weight,Fry 4 Length,Fry 5 Weight,Fry 5 Length,Fry 6 Weight,Fry 6 Length,Fry 7 Weight,Fry 7 Length,Fry 8 Weight,Fry 8 Length,Fry 9 Weight,Fry 9 Length,Fry 10 Weight,Fry 10 Length,Mean Weight,Mean Length
4,78,Day 0,8/23/17,PM,0.33,10/11/17,12,11/21/17,55,6,0.1,18.152,0.08,16.89,0.11,19.21,0.11,18.46,0.1,17.77,0.1,18.43,0.07,15.95,NA,NA,NA,NA,NA,NA,NA,NA,0.1,17.79
4,78,Day 0,8/23/17,PM,0.33,10/11/17,14,12/5/17,45,0,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,78,Day 0,8/23/17,PM,0.33,10/11/17,16,12/19/17,50,5,0.192,23.118,0.21,24.07,0.24,25.96,0.15,20.51,0.2,23.06,0.16,21.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,23.12
5,85,Day 0,8/31/17,PM,0.32,10/19/17,12,11/26/17,55,6,0.13,21.086,0.14,21.82,0.1,19.94,0.14,21.8,0.17,22.79,0.1,19.08,0.11,19.94,NA,NA,NA,NA,NA,NA,NA,NA,0.13,20.9
5,85,Day 0,8/31/17,PM,0.32,10/19/17,14,12/15/17,60,6,0.214,24.152,0.29,27.5,0.3,27.38,0.15,21.47,0.23,25.37,0.1,19.04,0.21,23.78,NA,NA,NA,NA,NA,NA,NA,NA,0.21,24.09
5,85,Day 0,8/31/17,PM,0.32,10/19/17,16,NA,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,91,Day 0,9/16/17,AM,0.34,11/4/17,12,12/15/17,100,10,0.104,18.942,0.12,20.64,0.11,18.86,0.08,17.07,0.11,19.45,0.1,18.69,0.09,18.23,0.12,20.48,0.09,18.71,0.11,18.61,0.1,18.84,0.1,18.97
40,91,Day 0,9/16/17,AM,0.34,11/4/17,14,NA,95,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,91,Day 0,9/16/17,AM,0.34,11/4/17,16,1/13/18,75,10,0.172,22.648,0.12,20.04,0.25,25.82,0.16,21.83,0.15,21.07,0.18,24.48,0.18,24.39,0.14,NA,0.2,NA,0.1,NA,0.1,NA,0.16,22.94
37,90,Day 10,9/17/17,PM,0.33,11/5/17,12,12/16/17,95,10,0.1,17.326,0.09,16.91,0.13,19.5,0.06,14.86,0.07,14.94,0.15,20.42,0.18,21.72,0.14,19.53,0.1,17.45,0.1,17.84,0.1,17.51,0.11,18.07
37,90,Day 10,9/17/17,PM,0.33,11/5/17,14,NA,85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,90,Day 10,9/17/17,PM,0.33,11/5/17,16,1/13/18,90,10,0.192,22.594,0.11,19.23,0.16,21.12,0.15,21.51,0.24,24.88,0.3,26.23,0.07,16.97,0.11,18.48,0.21,23.22,0.14,21.19,0.08,16.59,0.16,20.94
17,95,Day 10,10/7/17,AM,0.29,11/30/17,12,1/5/18,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,95,Day 10,10/7/17,AM,0.29,11/30/17,14,1/22/18,55,6,0.226,25.482,0.27,27.66,0.25,26.52,0.21,24.08,0.23,25.78,0.17,23.37,0.22,26.02,NA,NA,NA,NA,NA,NA,NA,NA,0.23,25.57
17,95,Day 10,10/7/17,AM,0.29,11/30/17,16,2/2/18,50,5,0.238,25.672,0.31,27.48,0.19,24.05,0.27,28.72,0.31,27.71,0.11,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24,25.67
22,95,Day 0,9/29/17,PM,0.19,11/18/17,12,NA,55,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,95,Day 0,9/29/17,PM,0.19,11/18/17,14,1/13/18,55,6,0.192,23.978,0.22,24.42,0.19,23.81,0.15,22.68,0.16,23.11,0.24,25.87,0.19,23.43,NA,NA,NA,NA,NA,NA,NA,NA,0.19,23.89
22,95,Day 0,9/29/17,PM,0.19,11/18/17,16,1/25/18,50,6,0.266,26.372,0.27,27.29,0.2,23.63,0.24,24.96,0.27,26.61,0.35,29.37,0.19,23.84,NA,NA,NA,NA,NA,NA,NA,NA,0.25,25.95
31,82,Day 10,10/23/17,PM,0.38,12/16/18,12,1/21/18,60,6,0.12,19.376,0.12,19.82,0.08,17.01,0.07,16.95,0.21,23.61,0.12,19.49,0.06,15.37,NA,NA,NA,NA,NA,NA,NA,NA,0.11,18.71
31,82,Day 10,10/23/17,PM,0.38,12/16/18,14,2/3/18,55,6,0.14,20.494,0.21,23.26,0.1,18.73,0.17,21.81,0.1,19.09,0.12,19.58,0.07,16.16,NA,NA,NA,NA,NA,NA,NA,NA,0.13,19.77
31,82,Day 10,10/23/17,PM,0.38,12/16/18,16,2/19/18,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,94,Day 0,10/28/17,AM,0.24,12/20/17,12,1/26/18,85,9,0.156,21.516,0.13,19.92,0.17,22.32,0.12,19.6,0.22,24.8,0.14,20.94,0.19,23.94,0.15,21.58,0.16,22.51,0.13,19.95,NA,NA,0.16,21.73
8,94,Day 0,10/28/17,AM,0.24,12/20/17,14,2/12/18,75,8,0.145,22.198,NA,26.39,0.18,22.77,0.06,17.19,0.18,22.2,0.16,22.44,0.14,20.91,0.26,25.73,0.22,24.85,NA,NA,NA,NA,0.17,22.81
8,94,Day 0,10/28/17,AM,0.24,12/20/17,16,2/24/18,65,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,93,Day 0,11/2/17,AM,0.2,12/20/17,12,2/2/18,50,5,0.184,23.416,0.34,29.3,0.16,22.61,0.08,17.75,0.18,23.52,0.16,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,23.42
39,93,Day 0,11/2/17,AM,0.2,12/20/17,14,2/15/18,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,93,Day 0,11/2/17,AM,0.2,12/20/17,16,NA,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
