Submitted Sample Name,Tank,Fry Number,Fry ID,Trt,Date Dissected,SIDE RNA
3B6_17E6,17-095,E6,17-095-E6,Day 10,4/26/18,L
3C6_40E6,40-091,E6,40-091-E6,Day 0,4/30/18,L
3D6_22C1,22-095,C1,22-095-C1,Day 0,4/12/18,R
3E6_27E9,27-002,E9,27-002-E9,Day 10,3/12/18,R
3F6_32C3,32-077,C3,32-077-C3,Day 0,3/22/18,L
3G6_31E6,31-082,E6,31-082-E6,Day 10,5/3/18,R
3H6_30C5,30-002,C5,30-002-C5,Day 0,3/15/18,R
3A7_11E5,11-082,E5,11-082-E5,Day 0,3/30/18,L
3B7_17C5,17-095,C5,17-095-C5,Day 10,4/26/18,R
3C7_20C2,20-091,C2,20-091-C2,Day 10,5/8/18,L
3D7_32E5,32-077,E5,32-077-E5,Day 0,3/23/18,R
3E7_31C6,31-082,C6,31-082-C6,Day 10,5/3/18,R
3F7_35C6,35-078,C6,35-078-C6,Day 10,3/21/18,L
3G7_07E1,07-081,E1,07-081-E1,Day 10,4/2/18,R
3H7_32C5,32-077,C5,32-077-C5,Day 0,3/23/18,R
3A8_26E5,26-077,E5,26-077-E5,Day 10,3/27/18,L
3B8_22E4,22-095,E4,22-095-E4,Day 0,4/13/18,R
3C8_04E7,04-078,E7,04-078-E7,Day 0,4/6/18,L
,35-078,E7,35-078-E7,Day 10,3/21/18,R
3D8_11C8,11-082,C8,11-082-C8,Day 0,3/30/18,L
