"","sampleID","group","lib.size","norm.factors","lane","ExpCon","Fry.Number","Tank","Fry.ID","Trt","Date.Dissected","SIDE.RNA","Plate","Sex1","Time.In","Time.Attack","Dissection.START","Dissection.END","Pool","Length","Mass","Father","Group"
"17C5","17C5","1",1215986.63079435,0.965249547371054,"2","C","5","17-095","17-095-C5","Day10","4/26/18","R","3","F",NA,NA,16:23:00,"16:26",NA,29.09,0.3,"095","Day10_C_F"
"22E4","22E4","1",1139547.93110093,0.967031453805021,"2","E","4","22-095","22-095-E4","Day0","4/13/18","R","3","F","11:16","11:26",12:27:00,"12:30",2,29.8,0.4,"095","Day0_E_F"
"30C10","30C10","1",727670.064740352,1.04459195032544,"1","C","10","30-002","30-002-C10","Day0","3/16/18","L","3","F",NA,NA,13:37:00,"13:41",NA,27.53,0.33,"002","Day0_C_F"
"17E8","17E8","1",1089497.85783279,1.00328183649539,"1","E","8","17-095","17-095-E8","Day10","4/27/18","R","3","F","10:45","10:55",12:01:00,"12:05",2,31.78,0.4,"095","Day10_E_F"
"26E7","26E7","1",1136446.53900731,0.97842334190321,"2","E","7","26-077","26-077-E7","Day10","3/27/18","L","3","F","15:16","15:26",16:30:00,"16:34",1,31.7,0.5,"077","Day10_E_F"
"25E1","25E1","1",1112463.24746919,1.00008742398562,"2","E","1","25-081","25-081-E1","Day0","4/9/18","R","3","M","11:20","11:30",12:30:00,"12:33",1,32.75,0.51,"081","Day0_E_M"
"26E2","26E2","1",1451475.75807982,0.960428086178483,"2","E","2","26-077","26-077-E2","Day10","3/26/18","L","3","F","11:53","12:03",13:04:00,"13:06",2,33.59,0.6,"077","Day10_E_F"
"40E6","40E6","1",1114078.54755892,0.975874259109568,"2","E","6","40-091","40-091-E6","Day0","4/30/18","L","3","M","9:46","9:56",10:58:00,"11:00",2,27.53,0.32,"091","Day0_E_M"
"20C2","20C2","1",1002668.95392317,0.954210336209125,"2","C","2","20-091","20-091-C2","Day10","5/8/18","L","3","F",NA,NA,12:12:00,"12:15",NA,33.42,0.54,"091","Day10_C_F"
"04E7","04E7","1",1181357.21224721,0.98282139377608,"2","E","7","04-078","04-078-E7","Day0","4/6/18","L","3","F","15:29","15:39",16:42:00,"16:44",1,31.31,0.44,"078","Day0_E_F"
"32E3","32E3","1",1058268.92420909,1.01984326950084,"1","E","3","32-077","32-077-E3","Day0","3/22/18","L","3","F","14:56","15:06",16:08:00,"16:11",1,25.34,0.34,"077","Day0_E_F"
"27C11","27C11","1",894046.415691387,0.997694948501289,"1","C","11","27-002","27-002-C11","Day10","3/12/18","L","3","M",NA,NA,16:59:00,"17:02",NA,28.83,0.41,"002","Day10_C_M"
"20E4","20E4","1",1325437.38238359,0.990265267939807,"2","E","4","20-091","20-091-E4","Day10","5/8/18","L","3","M","15:23","15:33",16:33:00,"16:35",2,29.73,0.36,"091","Day10_E_M"
"31C4","31C4","1",1251096.05222352,0.946411252747684,"2","C","4","31-082","31-082-C4","Day10","5/1/18","L","3","F",NA,NA,14:59:00,"15:03",NA,32.87,0.57,"082","Day10_C_F"
"19C4","19C4","1",1507402.68453384,1.00611227438359,"2","C","4","19-093","19-093-C4","Day10","4/17/18","R","3","M",NA,NA,17:22:00,"17:25",NA,33.97,0.56,"093","Day10_C_M"
"22C1","22C1","1",898076.524776895,0.94148757539058,"2","C","1","22-095","22-095-C1","Day0","4/12/18","R","3","M",NA,NA,16:22:00,"16:26",NA,34.14,0.58,"095","Day0_C_M"
"32E5","32E5","1",1196605.20793369,0.966293110272648,"2","E","5","32-077","32-077-E5","Day0","3/23/18","R","3","F","10:43","10:53",11:59:00,"12:03",1,33.76,0.56,"077","Day0_E_F"
"11C8","11C8","1",1447871.2924053,0.974548620302367,"2","C","8","11-082","11-082-C8","Day0","3/30/18","L","3","M",NA,NA,16:59:00,"17:02",NA,30.34,0.39,"082","Day0_C_M"
"19C8","19C8","1",1468724.9204467,0.973991041083525,"1","C","8","19-093","19-093-C8","Day10","4/23/18","R","3","M",NA,NA,16:14:00,"16:17",NA,31.13,0.51,"093","Day10_C_M"
"40E4","40E4","1",896170.45429611,1.01004721782226,"1","E","4","40-091","40-091-E4","Day0","4/27/18","R","3","F","15:52","16:02",17:04:00,"17:07",2,27.28,0.33,"091","Day0_E_F"
"22E2","22E2","1",1132274.48500331,1.01208168791044,"2","E","2","22-095","22-095-E2","Day0","4/12/18","R","3","F","15:50","16:00",17:02:00,"17:04",2,30.43,0.41,"095","Day0_E_F"
"26C6","26C6","1",1193919.73318479,0.933441121381137,"2","C","6","26-077","26-077-C6","Day10","3/27/18","R","3","M",NA,NA,15:09:00,"15:12",NA,29.96,0.37,"077","Day10_C_M"
"35E3","35E3","1",1508049.70503435,0.998817556245781,"2","E","3","35-078","35-078-E3","Day10","3/20/18","R","3","F","9:52","10:02",11:10:00,"11:13",1,28.24,0.33,"078","Day10_E_F"
"27E9","27E9","1",1080143.23404981,1.00369014808953,"2","E","9","27-002","27-002-E9","Day10","3/12/18","R","3","F","11:37","11:47",12:51:00,"12:55",1,38.9,0.39,"002","Day10_E_F"
"31C6","31C6","1",1281223.79878413,0.914505331744086,"2","C","6","31-082","31-082-C6","Day10","5/3/18","R","3","M",NA,NA,NA,NA,NA,33.3,0.54,"082","Day10_C_M"
"25C1","25C1","1",1183046.90415141,1.02277057317094,"1","C","1","25-081","25-081-C1","Day0","4/9/18","R","3","M",NA,NA,12:18:00,"12:21",NA,32.22,0.54,"081","Day0_C_M"
"31E5","31E5","1",1052809.22561025,0.964151626909421,"1","E","5","31-082","31-082-E5","Day10","5/3/18","L","3","M","10:19","10:29",11:33:00,"11:36",1,32.56,0.49,"082","Day10_E_M"
"40C2","40C2","1",1233482.05188185,0.996103592955421,"2","C","2","40-091","40-091-C2","Day0","4/27/18","R","3","F",NA,NA,13:28:00,"13:31",NA,27.18,0.3,"091","Day0_C_F"
"17C4","17C4","1",1040754.30839258,0.987243724061026,"2","C","4","17-095","17-095-C4","Day10","4/24/18","L","3","M",NA,NA,16:41:00,"16:43",NA,29.36,0.39,"095","Day10_C_M"
"30C11","30C11","1",1216608.18063426,1.00423381720546,"2","C","11","30-002","30-002-C11","Day0","3/16/18","R","3","M",NA,NA,16:16:00,"16:20",NA,30.48,0.5,"002","Day0_C_M"
"32C3","32C3","1",1112054.21746534,0.997063841669443,"2","C","3","32-077","32-077-C3","Day0","3/22/18","L","3","F",NA,NA,15:57:00,"16:00",NA,31.88,0.45,"077","Day0_C_F"
"35C6","35C6","1",1048848.45618275,1.0195090254484,"2","C","6","35-078","35-078-C6","Day10","3/21/18","L","3","F",NA,NA,12:08:00,"12:11",NA,32.2,0.47,"078","Day10_C_F"
"26C7","26C7","1",922483.895925599,1.00862556205271,"1","C","7","26-077","26-077-C7","Day10","3/27/18","L","3","M",NA,NA,16:44:00,"16:47",NA,35.01,0.66,"077","Day10_C_M"
"20C3","20C3","1",838212.796538874,0.986627176136363,"1","C","3","20-091","20-091-C3","Day10","5/8/18","R","3","F",NA,NA,16:15:00,"16:18",NA,32.73,0.49,"091","Day10_C_F"
"32C6","32C6","1",1015219.98984541,1.035549905592,"2","C","6","32-077","32-077-C6","Day0","3/23/18","L","3","F",NA,NA,12:33:00,"12:36",NA,30.32,0.33,"077","Day0_C_F"
"11C2","11C2","1",865494.982638187,0.985578901586372,"2","C","2","11-082","11-082-C2","Day0","3/29/18","L","3","M",NA,NA,17:00:00,"17:03",NA,28.8,0.39,"082","Day0_C_M"
"32E6","32E6","1",767043.865752094,1.01401543773626,"2","E","6","32-077","32-077-E6","Day0","3/23/18","L","3","F","11:07","11:17",12:20:00,"12:23",2,27.21,0.25,"077","Day0_E_F"
"31E6","31E6","1",851659.730312434,0.933601975721511,"2","E","6","31-082","31-082-E6","Day10","5/3/18","R","3","M","10:51","11:01",12:02:00,"12:05",2,29.15,0.38,"082","Day10_E_M"
"07E1","07E1","1",882854.493551388,0.991378741641388,"2","E","1","07-081","07-081-E1","Day10","4/2/18","R","3","F","11:44","11:54",12:55:00,"12:28",2,27.44,0.34,"081","Day10_E_F"
"27E12","27E12","1",1422708.18824354,1.02467590642174,"1","E","12","27-002","27-002-E12","Day10","3/12/18","L","3","F","16:13","16:23",17:26:00,"17:30",2,30.08,0.45,"002","Day10_E_F"
"04E8","04E8","1",1022604.24621049,0.997057635474362,"1","E","8","04-078","04-078-E8","Day0","4/6/18","R","3","M","15:56","16:06",17:09:00,"17:11",2,29.09,0.36,"078","Day0_E_M"
"30E9","30E9","1",1134677.71832123,1.00534242591244,"2","E","9","30-002","30-002-E9","Day0","3/16/18","R","3","M","12:11","12:22",13:27:00,"13:30",1,28.45,0.32,"002","Day0_E_M"
"22E6","22E6","1",956378.83245471,0.96770387085533,"2","E","6","22-095","22-095-E6","Day0","4/13/18","L","3","F","15:45","15:55",16:59:00,"17:01",2,31.43,0.43,"095","Day0_E_F"
