"","x"
"1193","groupI"
"1194","groupI"
"1195","groupI"
"1196","groupI"
"1197","groupI"
"1198","groupI"
"1199","groupI"
"1200","groupI"
"1201","groupI"
"1202","groupI"
"1203","groupI"
"1204","groupI"
"1205","groupI"
"1206","groupI"
"1207","groupI"
"1208","groupI"
"1209","groupI"
"1210","groupI"
"1211","groupI"
"1212","groupI"
"1213","groupI"
"1214","groupI"
"1215","groupI"
"1216","groupI"
"1217","groupI"
"1218","groupI"
"1219","groupI"
"1220","groupI"
"1221","groupI"
"1222","groupI"
"1223","groupI"
"1224","groupI"
"1225","groupI"
"1226","groupI"
"1227","groupI"
"1228","groupI"
"1229","groupI"
"1230","groupI"
"1231","groupI"
"1232","groupI"
"1233","groupI"
"1234","groupI"
"1235","groupI"
"1236","groupI"
"1237","groupI"
"1238","groupI"
"1239","groupI"
"1240","groupI"
"1241","groupI"
"1242","groupI"
"1243","groupI"
"1244","groupI"
"1245","groupI"
"1246","groupI"
"1247","groupI"
"1248","groupI"
"1249","groupI"
"1250","groupI"
"1251","groupI"
"1252","groupI"
"1253","groupI"
"1254","groupI"
"1255","groupI"
"1256","groupI"
"1257","groupI"
"1258","groupI"
"1259","groupI"
"1260","groupI"
"1261","groupI"
"1262","groupI"
"1263","groupI"
"1264","groupI"
"1265","groupI"
"1266","groupI"
"1267","groupI"
"1268","groupI"
"1269","groupI"
"1270","groupI"
"1271","groupI"
"1272","groupI"
"1273","groupI"
"1274","groupI"
"1275","groupI"
"1276","groupI"
"1277","groupI"
"1278","groupI"
"1279","groupI"
"1280","groupI"
"1281","groupI"
"1282","groupI"
"1283","groupI"
"1284","groupI"
"1285","groupI"
"1286","groupI"
"1287","groupI"
"1288","groupI"
"1289","groupI"
"1290","groupI"
"1291","groupI"
"1292","groupI"
"1293","groupI"
"1294","groupI"
"1295","groupI"
"1296","groupI"
"1297","groupI"
"1298","groupI"
"1299","groupI"
"1300","groupI"
"1301","groupI"
"1302","groupI"
"1303","groupI"
"1304","groupI"
"1305","groupI"
"1306","groupI"
"1307","groupI"
"1308","groupI"
"1309","groupI"
"1310","groupI"
"1311","groupI"
"1312","groupI"
"1313","groupI"
"1314","groupI"
"1315","groupI"
"1316","groupI"
"1317","groupI"
"1318","groupI"
"1319","groupI"
"1320","groupI"
"1321","groupI"
"1322","groupI"
"1323","groupI"
"1324","groupI"
"1325","groupI"
"1326","groupI"
"1327","groupI"
"1328","groupI"
"1329","groupI"
"1330","groupI"
"1331","groupI"
"1332","groupI"
"1333","groupI"
"1334","groupI"
"1335","groupI"
"1336","groupI"
"1337","groupI"
"1338","groupI"
"1339","groupI"
"1340","groupI"
"1341","groupI"
"1342","groupI"
"1343","groupI"
"1344","groupI"
"1345","groupI"
"1346","groupI"
"1347","groupI"
"1348","groupI"
"1349","groupI"
"1350","groupI"
"1351","groupI"
"1352","groupI"
"1353","groupI"
"1354","groupI"
"1355","groupI"
"1356","groupI"
"1357","groupI"
"1358","groupI"
"1359","groupI"
"1360","groupI"
"1361","groupI"
"1362","groupI"
"1363","groupI"
"1364","groupI"
"1365","groupI"
"1366","groupI"
"1367","groupI"
"1368","groupI"
"1369","groupI"
"1370","groupI"
"1371","groupI"
"1372","groupI"
"1373","groupI"
"1374","groupI"
"1375","groupI"
"1376","groupI"
"1377","groupI"
"1378","groupI"
"1379","groupI"
"1380","groupI"
"1381","groupI"
"1382","groupI"
"1383","groupI"
"1384","groupI"
"1385","groupI"
"1386","groupI"
"1387","groupI"
"1388","groupI"
"1389","groupI"
"1390","groupI"
"1391","groupI"
"1392","groupI"
"1393","groupI"
"1394","groupI"
"1395","groupI"
"1396","groupI"
"1397","groupI"
"1398","groupI"
"1399","groupI"
"1400","groupI"
"1401","groupI"
"1402","groupI"
"1403","groupI"
"1404","groupI"
"1405","groupI"
"1406","groupI"
"1407","groupI"
"1408","groupI"
"1409","groupI"
"1410","groupI"
"1411","groupI"
"1412","groupI"
"1413","groupI"
"1414","groupI"
"1415","groupI"
"1416","groupI"
"1417","groupI"
"1418","groupI"
"1419","groupI"
"1420","groupI"
"1421","groupI"
"1422","groupI"
"1423","groupI"
"1424","groupI"
"1425","groupI"
"1426","groupI"
"1427","groupI"
"1428","groupI"
"1429","groupI"
"1430","groupI"
"1431","groupI"
"1432","groupI"
"1433","groupI"
"1434","groupI"
"1435","groupI"
"1436","groupI"
"1437","groupI"
"1438","groupI"
"1439","groupI"
"1440","groupI"
"1441","groupI"
"1442","groupI"
"1443","groupI"
"1444","groupI"
"1445","groupI"
"1446","groupI"
"1447","groupI"
"1448","groupI"
"1449","groupI"
"1450","groupI"
"1451","groupI"
"1452","groupI"
"1453","groupI"
"1454","groupI"
"1455","groupI"
"1456","groupI"
"1457","groupI"
"1458","groupI"
"1459","groupI"
"1460","groupI"
"1461","groupI"
"1462","groupI"
"1463","groupI"
"1464","groupI"
"1465","groupI"
"1466","groupI"
"1467","groupI"
"1468","groupI"
"1469","groupI"
"1470","groupI"
"1471","groupI"
"1472","groupI"
"1473","groupI"
"1474","groupI"
"1475","groupI"
"1476","groupI"
"1477","groupI"
"1478","groupI"
"1479","groupI"
"1480","groupI"
"1481","groupI"
"1482","groupI"
"1483","groupI"
"1484","groupI"
"1485","groupI"
"1486","groupI"
"1487","groupI"
"1488","groupI"
"1489","groupI"
"1490","groupI"
"1491","groupI"
"1492","groupI"
"1493","groupI"
"1494","groupI"
"1495","groupI"
