File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
20-091_E6_before,20-091,E6,05/09/18,1049,JCK,RZ,before,0,3,3,199291,100706,295647,4351,199291,0,0,299999,0,other swim / plant / freeze
20-091_E6_before,20-091,E6,05/09/18,1049,JCK,RZ,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,other swim / plant / freeze
20-091_E7_before,20-091,E7,05/09/18,1504,JCK,JCK,before,0,1,1,95998,204000,270591,29408,84129,11869,0,299997,0,other swim
20-091_E7_before,20-091,E7,05/09/18,1504,JCK,JCK,before,1,1,1,218292,81708,294996,5004,218292,0,0,3e+05,0,other swim
20-091_E8_before,20-091,E8,05/09/18,1532,JCK,JCK,before,0,5,5,161996,138002,243871,56128,161996,0,13937,286060,5410,none
20-091_E8_before,20-091,E8,05/09/18,1532,JCK,JCK,before,1,1,1,209088,90765,299853,0,209088,0,0,299853,17401,none
22-095_E1_before,22-095,E1,04/12/18,1529,AP,GZ,before,0,19,8,36546,263453,188060,111937,32615,3931,33920,266078,6213,fast start
22-095_E1_before,22-095,E1,04/12/18,1529,AP,GZ,before,1,1,1,273074,26926,283843,16157,264428,8646,14220,285780,0,fast start
22-095_E2_before,22-095,E2,04/12/18,1550,GZ,AP,before,0,10,7,15411,284586,166723,133275,0,15411,0,299996,82371,none
22-095_E2_before,22-095,E2,04/12/18,1550,GZ,AP,before,1,1,1,156564,143436,256208,43792,140536,16028,42309,257691,0,none
22-095_E3_before,22-095,E3,04/13/20,1048,AM,JK,before,0,35,9,21299,278698,131433,168565,16094,5205,10314,289682,26774,Jerky Swim/Freeze
22-095_E3_before,22-095,E3,04/13/20,1048,AM,JK,before,1,18,6,0,3e+05,5052,294948,0,0,185104,114896,0,Jerky Swim/Freeze
22-095_E4_before,22-095,E4,04/13/18,1116,AM,JCK,before,0,31,9,40726,259272,107824,192173,34307,6419,29201,270798,34903,jerky swim / freeze
22-095_E4_before,22-095,E4,04/13/18,1116,AM,JCK,before,1,32,8,37547,262453,20586,279414,12784,24763,259921,40079,0,jerky swim / freeze
22-095_E5_before,22-095,E5,04/13/18,1515,GZ,SR,before,0,17,8,181013,118984,204571,95428,151165,29848,8217,291781,4895,none
22-095_E5_before,22-095,E5,04/13/18,1515,GZ,SR,before,1,1,1,284680,15320,3e+05,0,284680,0,0,3e+05,0,none
22-095_E6_before,22-095,E6,04/13/18,1545,SR,GZ,before,0,3,3,54502,245496,273171,26825,54502,0,10896,289101,0,none
22-095_E6_before,22-095,E6,04/13/18,1545,SR,GZ,before,1,2,2,154337,145663,271455,28545,154337,0,20734,279266,0,none
22-095_E7_before,22-095,E7,04/16/18,1115,BF , AF,before,0,2,2,292215,7784,0,299997,0,292215,0,299998,0,none
22-095_E7_before,22-095,E7,04/16/18,1115,BF , AF,before,1,3,3,237036,62964,16196,283804,15511,221525,0,3e+05,50628,none
